[TX] SENT 32 CMD  CAPTURED -> board\uart_script_capture.txt
ok    1 STAT
ok    2 th 80
ok    3 TH120
ok    4 THE
ok    5 th
ok    6 pipe 11000
ok    7 01010
ok    8 pipe 00000
ok    9 src 0
ok   10 src 2
ok   11 src 1
ok   12 src 9
ok   13 zoom off
ok   14 ZOOM1
ok   15 bilin off
ok   16 BILIN1
ok   17 frame 12
ok   18 rot 45
ok   19 rot speed 1
ok   20 split auto
ok   21 split range 20 80
ok   22 gamma 1.8
ok   23 osd off
ok   24 zoom 1.5
ok   25 help
ok   26 BOGUS
ok   27 AUTOPLAY0
ok   28 autoplay 1
ok   29 SRC2
ok   30 bilin 2
ok   31 TH80
ok   32 STAT
ok   跑完回到初态：en=00 thr=80 src=1 zoom=1 bilin=1

RESULT PASS uart_cmd_check  (32 条命令, 32.5 s, 捕获 board/uart_script_capture.txt)
