[TX] SENT 37 CMD  CAPTURED -> board\uart_script_capture.txt
ok    1 STAT
ok    2 th 80
ok    3 TH120
ok    4 THE
ok    5 th
ok    6 pipe 11000
ok    7 01010
ok    8 pipe 00000
ok    9 src 0
ok   10 src 2
ok   11 src 1
ok   12 src 9
ok   13 zoom off
ok   14 ZOOM1
ok   15 bilin off
ok   16 BILIN1
ok   17 frame 12
ok   18 rot 45
ok   19 rot speed 1
ok   20 split auto
ok   21 split range 20 80
ok   22 gamma 1.8
ok   23 gamma off
ok   24 osd off
ok   25 zoom 1.5
ok   26 help
ok   27 BOGUS
ok   28 pipe 000001010
ok   29 pipe 000000001
ok   30 pipe 000100000
ok   31 pipe 00000
ok   32 AUTOPLAY0
ok   33 autoplay 1
ok   34 SRC2
ok   35 bilin 2
ok   36 TH80
ok   37 STAT
ok   跑完回到初态：en=00 thr=80 src=1 zoom=1 bilin=1 gm=0.00

RESULT PASS uart_cmd_check  (37 条命令, 37.4 s, 捕获 board/uart_script_capture.txt)
